solar_data,solar_hashes,dump_data,dump_hashes
A3034KR4301HA26280080023700000054009290066001900024200181002360002466800027223790ÿ,2013-09-27 09:29:00.694621,A3034KR4301HA26280080023700000054009290066001900024200181002360002466800027223790ÿ,2013-09-27 09:29:00.689574
A3034KR4301HA26280080022200000034009265355001900023900181002230002210200024247695ÿ,2013-09-27 09:26:53.588719,A3034KR4301HA26280080022200000034009265355001900023900181002230002210200024247695ÿ,2013-09-27 09:26:53.585421
A3034KR4301HA26280080021800000084009242132001900023900181002190002022800022237870ÿ,2013-09-27 09:24:21.352745,A3034KR4301HA26280080021800000084009242132001900023900181002190002022800022237870ÿ,2013-09-27 09:24:21.351470
A3034KR4301HA26280080022700000034009272899001900023900181002260002239300024570900ÿ,2013-09-27 09:27:29.025748,A3034KR4301HA26280080022700000034009272899001900023900181002260002239300024570900ÿ,2013-09-27 09:27:29.019067
A3034KR4301HA26280080022000000014009235109001900023900181002210001987200021848585ÿ,2013-09-27 09:23:51.119652,A3034KR4301HA26280080022000000014009235109001900023900181002210001987200021848585ÿ,2013-09-27 09:23:51.109425
A3034KR4301HA26280080021900000124009260982001900023900181002180002172800023833560ÿ,2013-09-27 09:26:09.849714,A3034KR4301HA26280080021900000124009260982001900023900181002180002172800023833560ÿ,2013-09-27 09:26:09.846361
A3034KR4301HA26280080021900000024009235975001900023900181002200002005600022049605ÿ,2013-09-27 09:23:59.779650,A3034KR4301HA26280080021900000024009235975001900023900181002200002005600022049605ÿ,2013-09-27 09:23:59.771542
A3034KR4301HA26280080021300000014009254208001900023900181002140002147500023559175ÿ,2013-09-27 09:25:42.103715,A3034KR4301HA26280080021300000014009254208001900023900181002140002147500023559175ÿ,2013-09-27 09:25:42.103656
A3034KR4301HA26280080023300000024009223617001900023900181002340001911200020987360ÿ,2013-09-27 09:22:36.192651,A3034KR4301HA26280080023300000024009223617001900023900181002340001911200020987360ÿ,2013-09-27 09:22:36.187310
A3034KR4301HA26280080022100000114009235037001900023900181002200001983500021807750ÿ,2013-09-27 09:23:50.416656,A3034KR4301HA26280080022100000114009235037001900023900181002200001983500021807750ÿ,2013-09-27 09:23:50.415778
A3034KR4301HA26280080023800000054009305611001900024300181002370002588900028681325ÿ,2013-09-27 09:30:56.133622,A3034KR4301HA26280080023800000054009305611001900024300181002370002588900028681325ÿ,2013-09-27 09:30:56.131426
A3034KR4301HA26280080023300000044009282692001900023900181002340002373500026114730ÿ,2013-09-27 09:28:26.967744,A3034KR4301HA26280080023300000044009282692001900023900181002340002373500026114730ÿ,2013-09-27 09:28:26.963582
A3034KR4301HA26280080024000000014009283283001900024000181002390002404200026478255ÿ,2013-09-27 09:28:32.868750,A3034KR4301HA26280080024000000014009283283001900024000181002390002404200026478255ÿ,2013-09-27 09:28:32.868248
A3034KR4301HA26280080023900000024009283426001900024200181002400002414300026599355ÿ,2013-09-27 09:28:34.297746,A3034KR4301HA26280080023900000024009283426001900024200181002400002414300026599355ÿ,2013-09-27 09:28:34.294950
A3034KR4301HA26280080020900000064009245508001900023900181002080002098100023037225ÿ,2013-09-27 09:24:55.113557,A3034KR4301HA26280080020900000064009245508001900023900181002080002098100023037225ÿ,2013-09-27 09:24:55.105241
A3034KR4301HA26280080024000000034009293693001900024300181002390002527700027953545ÿ,2013-09-27 09:29:36.957622,A3034KR4301HA26280080024000000034009293693001900024300181002390002527700027953545ÿ,2013-09-27 09:29:36.957243
A3034KR4301HA26280080022900000114009281228001900023900181002300002344500025778250ÿ,2013-09-27 09:28:12.319744,A3034KR4301HA26280080022900000114009281228001900023900181002300002344500025778250ÿ,2013-09-27 09:28:12.310891
